"Well_Number","Well_Status","NR_Area","NR_Subarea","Location","Location_Long","Latitude","Longitude","Aquifer_ID","Aquifer_Subtype","Aquifer_Type","Hydraulic_Connectivity","Report","Start_Year","End_Year","N_Years","Start_WaterYear","End_WaterYear","N_WaterYears","Start_Year_Monthly","End_Year_Monthly","N_Years_Monthly","Start_WaterYear_Monthly","End_WaterYear_Monthly","N_WaterYears_Monthly","Start_Year_Continuous","End_Year_Continuous","N_Years_Continuous","Start_WaterYear_Continuous","End_WaterYear_Continuous","N_WaterYears_Continuous"
"OW182","Inactive",NA,NA,NA,NA,565259.1921,1723567.6035,1136,"1b","Unconfined sand and gravel","Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW183","Inactive",NA,NA,NA,NA,565144.7115,1723025.5523,1136,"1b","Unconfined sand and gravel","Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW067","Inactive",NA,NA,NA,NA,408894.0758,1188992.2437,608,"6b","Crystalline bedrock","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW276","Inactive",NA,NA,NA,NA,434096.8326,1180958.2431,1143,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW023","Inactive",NA,NA,NA,NA,566787.0203,1473835.9923,464,"4b","Confined sand and gravel","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW072","Inactive",NA,NA,NA,NA,394123.2377,1194152.9204,616,"4b","Confined sand and gravel","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW073","Inactive",NA,NA,NA,NA,394204.7599,1194135.0867,616,"4b","Confined sand and gravel","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW071","Active","West Coast Region","Capital Regional District","Saanich","Saanich (Cordova Bay Road)",394098.117,1194224.2026,616,"4b","Confined sand and gravel","Not Likely",TRUE,1976,2022,47,1976,2022,47,1976,2004,29,1976,2004,29,2004,2022,19,2005,2022,18
"OW179","Inactive",NA,NA,NA,NA,573968.844,1473548.4656,464,"4b","Confined sand and gravel","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW138","Inactive",NA,NA,NA,NA,498370.7865,1686106.6935,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW029","Inactive",NA,NA,NA,NA,563515.8903,1473673.685,467,"1c","Unconfined sand and gravel","Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW021","Inactive",NA,NA,NA,NA,559820.6609,1469825.4008,464,"4b","Confined sand and gravel","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW019","Inactive",NA,NA,NA,NA,561110.4699,1468102.5499,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW165","Inactive",NA,NA,NA,NA,575062.2424,1473285.4349,464,"4b","Confined sand and gravel","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW026","Inactive",NA,NA,NA,NA,563754.367,1473262.6246,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW150","Inactive",NA,NA,NA,NA,526291.9959,1460498.2599,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW030","Inactive",NA,NA,NA,NA,554605.9207,1468913.1961,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW020","Inactive",NA,NA,NA,NA,555725.5479,1468345.8483,464,"4b","Confined sand and gravel","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
